Age,Income,LoanAmount,CreditScore,YearsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Default
22,41413,12030,530,12,3,9.619733924238124,36,19.11657183078062,1
26,43861,14138,776,5,3,7.7921709139684845,36,24.82631371803675,0
62,74132,48369,388,20,2,4.943065474250699,60,0.5503581297451821,1
24,53056,16646,351,6,7,10.764633038582655,60,29.59538958478154,1
49,69693,29812,833,17,6,5.257515855705854,60,16.26493422161024,0
38,48853,24422,721,14,8,15.116861518669293,60,26.509661473717433,0
46,38669,11645,745,7,1,3.9219182308716327,60,26.30591717094111,0
64,28366,15628,430,15,9,23.710427412321483,36,48.37287246176195,1
54,59720,25486,673,2,2,24.279212918232545,60,13.412849926206217,1
30,75411,23409,829,8,5,10.050057738371933,36,28.521646025101344,0
56,36710,40266,404,25,1,9.094184777339104,36,19.077629821150317,1
34,57700,23732,686,25,12,5.744711793588725,36,21.09999049869826,0
51,29365,47557,635,29,11,22.95575692148438,60,2.77795312884726,1
68,41664,20425,416,26,11,16.11757439394794,36,34.42265063526124,1
35,54019,13195,300,15,1,16.617685844459288,36,9.764270396646113,1
28,24075,19722,837,3,9,22.760913945942956,60,23.424445515485605,0
34,49729,17494,735,18,1,23.08191606791687,36,21.713481727416685,0
43,37449,22571,795,33,11,21.309345898775984,36,23.40705582216906,0
60,59071,35486,311,5,1,20.128993563642712,36,18.77729979811148,1
41,47518,23900,593,14,12,22.36068627944965,36,12.119270735325067,1
36,64091,1125,807,9,4,22.333368043717236,60,22.43570264678969,0
65,45806,49814,427,35,11,11.42586440984584,60,2.3109762482780463,1
38,29564,20318,375,39,13,24.427911229548158,36,12.116127625681338,1
67,27695,39685,568,5,0,18.74634258294837,60,39.24241857777221,1
44,21364,44162,445,39,6,11.459502831272234,36,42.141019408888255,1
46,59494,8590,702,5,0,13.004064621423442,36,35.76546690798281,0
45,88365,35850,798,14,0,18.273317753051632,60,31.62820155183455,0
65,56528,13134,498,28,4,11.263626557145603,60,40.56328796580531,1
61,75080,26230,802,24,6,21.27099080843035,36,6.391546229918554,0
49,67003,16058,702,18,2,6.683367855616741,36,26.262706901865563,0
35,42224,15301,508,13,6,23.0132774222857,36,5.815782490822919,1
65,68979,38861,641,2,8,9.975746504487095,36,38.893303755449324,1
21,42821,28039,347,13,10,6.783324884877315,36,26.02781927024323,1
45,43119,1284,840,38,3,21.9475220510895,60,40.501244259432035,0
27,46871,39334,475,38,14,8.648459637119437,36,39.953171253693114,1
29,47582,44525,810,20,4,21.633008368066427,60,23.31061884213274,0
44,59920,41986,318,10,13,9.869684674146537,60,24.843714739142676,1
21,39936,19658,794,9,7,23.57808218456437,36,1.413374759829522,0
64,63336,29443,654,14,8,8.210169255728191,60,26.175664518859083,1
28,63121,4972,644,29,4,4.997474808048028,60,33.87323880352176,0
44,55144,27167,359,16,11,23.635420011861363,36,11.682784877828379,1
31,79094,14679,528,28,4,7.060953458238537,60,49.326358525040135,1
37,69310,45341,446,16,1,23.798849647028916,60,48.741443694070554,1
28,66045,30519,597,32,8,21.215513027544233,36,14.141529740179838,1
55,50992,26704,632,37,12,5.261395878907653,36,35.64866282318027,1
55,55276,37881,631,20,5,13.070406777273114,60,1.5000834080960146,1
53,57857,32948,732,13,4,5.078092649904986,36,33.287635538260744,1
25,50198,15378,698,9,4,10.590411139153943,60,31.20082437807875,1
62,44366,11328,634,22,3,11.057316182159713,60,41.10798297646241,0
59,15000,25732,508,38,0,16.392116602042833,60,15.218254043886741,1
61,60766,18673,710,38,5,24.48175470862692,36,43.90050764075726,0
48,65621,11373,570,13,0,7.149913962312519,36,42.89875135622868,1
27,32583,6720,479,21,9,10.576745742099462,36,33.480148013328375,1
29,59077,6153,714,27,1,16.122703625612406,36,23.616743447763245,0
28,41127,7226,645,8,6,7.185548389371339,60,30.920062073882583,1
32,44502,3976,818,22,12,18.78025773856246,36,36.497938447993675,0
54,69661,39019,737,6,0,12.178683891556968,36,48.762569487334304,1
53,35140,37267,312,23,7,23.915804356159317,36,6.086409561847367,1
68,35117,20297,703,36,7,17.042225322138112,60,15.653639045497808,0
43,77072,17587,679,8,6,11.306235291017042,60,39.03581565883976,0
44,47816,19206,720,37,6,18.968672102978203,60,20.459001120168978,1
57,68698,26935,479,6,0,21.53322342678395,36,33.62399857318297,1
55,26019,30633,582,22,12,20.71031492663429,60,6.655898717365111,1
64,27220,11736,717,24,2,9.149434473766702,60,35.45808018442858,1
60,36305,42401,655,21,8,12.46514207120047,36,33.70319093514155,1
42,42778,7971,315,6,4,13.221819712155856,60,29.29100334018057,1
47,28950,10507,614,5,4,11.850242931706074,60,38.26189826083397,1
55,55539,26724,832,35,6,10.183567031400077,60,44.00561162489765,1
21,56518,23166,315,21,10,19.684077684548974,60,41.46513034259635,1
55,36527,14158,764,34,9,3.7628212337774882,36,6.378704773057714,0
57,37721,26774,762,32,7,9.811200920463573,36,37.21966853087462,1
67,39698,12108,844,20,5,6.544771024917427,60,22.488222056267375,0
34,32526,13077,368,10,4,6.268540291848865,36,16.69409092504,1
23,15000,5175,710,12,0,9.454611338295791,60,43.98247929016961,1
21,48724,36627,351,2,9,19.886291458973542,36,27.98066173326259,1
25,43543,3962,364,12,9,24.34257018518632,60,25.061736601633243,1
46,45077,14616,766,33,9,14.564297030633623,60,39.22996762913807,1
34,34822,33253,571,27,12,10.787894077903733,36,27.66542729754409,1
59,62157,18751,738,39,8,21.32716502568837,60,42.900379266287764,0
47,86380,46625,829,33,5,4.942723643267362,36,5.145047677910231,0
29,37488,6210,572,31,2,5.503110750399107,36,38.80665322139576,1
35,70995,33390,758,22,11,10.925375767109234,60,8.191729498223799,1
35,55499,36677,472,23,11,13.140782738634046,36,11.261567268913014,1
46,50531,44176,820,0,9,20.653514189549544,36,8.972576042014758,0
62,44838,37173,796,23,14,23.393174695719477,60,11.921067601171947,1
33,48751,16993,833,2,11,14.922445502323352,60,36.59153483436732,1
52,67243,27859,371,16,6,14.156360395782409,36,32.76658561527779,1
59,32928,21878,471,6,3,8.079736910199236,60,11.489064725367093,1
69,45874,15923,591,9,12,13.200403189549641,36,13.508746838886537,0
52,68735,34588,551,18,2,23.35835097239197,60,4.964705630479532,1
24,64755,28100,708,23,11,11.947340029877488,60,20.72177611029532,0
50,33161,25086,666,8,6,8.029673487720693,60,18.92925815535722,1
57,47261,41023,555,14,5,10.751843127910576,60,7.290789562865907,1
43,60920,48709,824,21,13,14.56378417165623,36,41.731252043443554,0
59,59951,33571,739,16,10,16.369578157890775,60,42.629752433161336,1
65,64627,12017,634,18,3,12.797242412263637,60,5.452340073654166,0
35,55764,38221,734,8,13,19.808527860116502,60,13.31829766285762,1
63,58279,20513,760,37,9,16.065747715294194,36,36.80445004625346,0
49,55141,45974,607,18,7,17.79853488125128,60,43.49833456365407,1
56,73695,47478,394,7,1,22.052756879141455,36,3.5836494284806286,1
33,43672,15860,708,5,5,22.112304260862036,60,45.11851609521814,1
52,50722,9086,467,37,2,7.875428714495109,36,3.081857737227417,1
27,34775,49544,386,20,14,16.90191201390197,36,31.68919796920271,1
42,31819,19050,302,28,7,18.90777851239569,36,1.1037567664302972,1
48,54874,41157,671,33,10,6.635838495108299,36,46.413251087223664,1
22,39137,20784,827,11,7,21.619551496766746,36,17.684532468744894,1
62,49134,12774,322,38,10,7.380102033243623,36,32.440153769799366,1
65,74266,35968,397,31,10,20.68450760040943,60,9.231109954033911,1
26,73399,13142,821,5,0,6.971513767404162,60,16.062770800207428,0
48,83360,24007,620,16,1,19.448238541436524,36,37.364924110781494,1
48,74564,26158,833,31,3,6.685181546063271,60,48.64979433693798,0
64,86045,7051,666,7,0,11.644830183457078,36,49.60266453047096,1
64,56547,32576,483,37,2,6.585596869649546,36,40.48397580740995,1
40,36454,5115,716,28,3,9.320374571022539,60,42.359651985207734,0
50,34994,20024,513,30,9,24.667067713099918,36,48.47019300637848,1
31,70944,7371,509,18,2,5.815026605491749,60,2.0158344884461554,1
48,50774,29690,432,8,4,12.238993767984596,60,8.507522349264345,1
45,51891,40355,352,27,10,18.053765829038742,60,2.6338889259864495,1
59,41763,33420,322,38,11,5.533869263541645,36,25.05805766445539,1
53,43562,44375,405,39,9,5.844209229519968,36,47.92446225022819,1
21,55756,49002,759,30,6,6.580151759263304,60,29.121809344996702,0
47,34171,47698,781,18,7,17.367207127710003,36,27.770205792542157,1
33,53857,10080,419,32,7,23.05074373655294,60,41.33431758309621,1
61,72666,2883,507,25,10,21.25877326032601,60,46.44744409098692,1
23,17995,5821,617,0,1,24.63568764618607,36,34.92776157626888,1
59,26880,37590,637,10,0,15.929964518886965,36,44.7688685268913,1
26,60134,9338,454,1,12,24.171762049290994,60,8.760813949754425,1
28,70459,23007,454,34,13,10.05608455213222,60,25.170351593686508,1
47,42651,3477,693,12,5,12.562348767690414,36,18.230251879674558,1
29,20026,14135,804,38,0,12.014889411271788,60,16.62606515931299,0
57,71478,43423,612,33,5,4.518185825996442,36,10.712514977139492,1
53,37834,11437,558,33,12,21.338663273622004,60,44.69982914422428,1
62,44581,49100,456,34,6,4.031441056885925,60,22.518460957525527,1
64,54785,10502,313,31,8,19.192339398327753,60,26.51270121279048,1
44,40003,30236,376,11,9,12.251892827088177,60,13.815534834660165,1
35,36858,1368,638,32,14,3.6343258956535456,60,48.14254465871396,1
52,37132,26839,708,17,9,9.733858411550187,60,30.560500164558224,1
52,77868,47366,693,4,0,10.941745462254787,60,0.03470894277857184,0
44,67394,36515,519,18,6,24.241103127790332,36,13.394623240094411,1
61,58617,8562,732,30,3,17.713200598560306,60,49.96737957869443,1
69,17203,8139,754,26,8,15.186789217382017,36,48.73874119213213,1
69,58672,28141,439,37,10,6.2315871303571475,60,27.2308238298075,1
32,57863,43778,797,14,3,11.908743299525563,60,28.205863504208157,0
59,30828,7704,829,3,1,4.2689336024079125,60,45.07942483446062,0
22,53880,2887,395,18,0,19.876236497155904,60,35.42829702285305,1
23,65772,12975,327,20,6,6.999699097165578,36,46.61081931365844,1
69,58540,1544,529,39,11,16.28036757034762,36,23.95664871884811,1
57,39797,20448,715,0,6,18.53691807251085,60,48.79503585213007,1
69,50198,23830,755,19,2,11.379946245700191,36,26.97748924441156,0
37,60955,47323,324,21,4,17.100752770137998,36,32.24194846238588,1
69,50891,24926,703,12,9,19.931006525403674,36,4.128343046076416,0
22,68814,32002,841,0,11,7.4586615947787465,60,30.581504754568655,0
22,55935,48581,464,14,13,16.41849707000592,60,38.38879732493115,1
48,61293,14333,507,14,11,19.27848741197868,36,21.9652173169457,1
43,62321,17942,672,13,6,11.176533922457457,60,25.12191049639347,0
57,33999,15684,368,4,7,6.993559899505723,60,19.66637105686927,1
52,50749,27088,819,5,13,9.651494454175104,60,48.452075363648426,0
53,45014,23447,652,30,11,23.561105337056322,36,23.83121181603116,1
21,65657,9861,400,25,8,11.185131027467646,36,6.310567210133621,1
39,56948,25833,300,24,9,5.815562636815963,36,1.443609141932506,1
22,47176,18454,650,38,9,5.27861991446057,60,38.62345985348809,1
64,30772,2050,306,39,0,7.380643913492641,60,27.383642421833095,1
46,26046,21422,617,14,8,6.241515217329662,60,0.13852526829196132,1
52,54655,22530,808,5,5,14.14343868907843,60,19.12613186823609,0
26,39241,48060,485,0,5,10.972356049775591,60,45.70246350799282,1
52,59991,16756,761,6,13,21.59022157569018,60,47.38774630261007,0
24,25352,5022,642,3,6,22.44318844727118,60,2.677962417283075,0
31,73894,42104,307,0,8,13.675506839587266,60,6.171120684929354,1
37,59957,3634,435,1,6,22.603332748138783,36,0.2435172516894346,1
58,51487,28145,682,33,6,13.184925232716711,36,43.433685613047665,1
44,75245,8288,485,34,10,17.30218566482521,60,3.544311291275953,1
25,64226,9992,671,12,11,6.994498901926642,60,5.395007610994801,0
54,42874,35253,465,16,2,4.630525079170323,60,11.381132478736633,1
26,51163,28005,620,9,9,6.941831292703143,60,45.862477582266735,1
42,20535,13166,456,2,8,8.914672570676238,60,34.4117003643241,1
31,65962,29065,584,3,3,19.646110700367426,36,30.844067988372448,1
68,45560,18798,327,24,5,7.230362712921618,36,39.23284528365729,1
36,20341,30301,650,36,12,6.309075954024689,36,34.664224882126135,1
53,32272,4894,382,37,6,23.443601651283146,60,37.2963410340592,1
29,63063,4846,669,28,11,18.309252080394753,60,3.6828219348981897,1
26,74207,15481,840,0,12,13.676070093158032,60,29.488264822049842,0
36,50306,43154,694,29,11,5.54182045413881,60,37.66036436279394,1
49,35269,31221,779,38,8,21.81350459878416,60,28.282931016664786,0
23,28688,48764,512,9,12,5.827556261960585,36,0.5897436682262058,1
40,71219,9048,659,28,12,16.6375004324714,60,10.555994474143965,0
56,56742,28386,513,31,9,17.855044591361967,36,48.14499985334953,1
39,45047,34336,603,0,11,12.102984310724725,60,35.234732046057196,1
46,41475,40258,454,16,2,23.091159587598366,36,34.425245044011476,1
23,60077,24853,679,11,13,4.590063151743918,36,33.012622090915436,1
39,59664,35713,499,1,10,21.08951347467182,60,6.390400009161295,1
40,36551,17791,537,8,1,15.406579562551295,36,0.2041390495971851,1
52,32864,5228,466,11,1,16.640880074763743,60,22.03261590358811,1
27,33621,12945,525,24,1,24.716749593370533,36,22.21622024226552,1
61,42976,42573,550,35,8,16.026927767033186,36,40.59027255840258,1
53,39653,40899,579,34,7,20.636101689591452,60,9.07837581786895,1
60,74271,25681,775,21,8,6.800911462975071,36,13.755558154958692,0
59,42443,35986,797,32,8,20.899726230361082,36,3.9121165844684223,1
38,31255,15975,834,20,0,19.863067505319577,36,19.993751764398205,0
60,32097,49377,710,39,9,24.314366577405224,36,12.79948742463306,1
21,47240,8711,728,21,9,23.61777865184039,60,13.144792207606798,0
31,22668,45759,838,27,14,8.10071072849522,60,12.702654355930882,1
48,49098,13105,742,3,8,13.496062279183056,36,11.575925457442171,0
45,29956,31146,509,25,0,23.096888330716347,60,15.989651514564923,1
43,67379,16238,846,22,4,17.276448998714358,60,26.83450823909489,0
51,51748,4868,790,22,3,13.469558476866707,60,21.885513857254036,0
50,81815,45294,770,7,7,5.842183374417861,60,3.1723480612812383,0
62,46576,11060,762,31,4,11.062787695578935,60,21.29299318798858,0
55,15000,6433,849,38,11,17.802658906801952,36,42.31391272562928,0
27,71865,23612,776,0,8,20.203661361935687,60,5.035205873360721,0
36,57528,18822,497,29,0,13.11408865119893,36,47.21807996658276,1
46,59853,35120,820,27,7,4.700656599738283,36,15.42951853824937,0
68,34961,42004,798,16,5,17.113201918794903,36,0.7267814700751329,0
69,49357,22294,810,22,0,23.31410743283499,60,12.657778953215859,0
22,52796,19764,624,37,12,14.17283110146789,60,3.482981027735171,0
21,46432,5560,766,23,1,23.4611310777198,36,28.319067302833602,0
68,23984,17583,438,21,3,11.113165558744653,36,15.816256377527482,1
32,91530,16560,541,4,14,22.556864053633014,36,40.34383069623353,1
25,62537,5424,615,24,13,20.40630468159195,36,36.6312544061876,1
57,56308,41615,434,6,4,24.177443323710058,36,23.429822974338794,1
52,69708,27863,487,21,13,20.506956557024203,60,28.03008054206522,1
29,59662,47963,368,36,0,10.411814617055075,60,30.43848004905101,1
61,39841,30469,738,33,9,22.862201836935327,36,13.535234369774752,0
55,68746,38565,376,35,6,17.89921814391449,60,6.968818659709375,1
39,62783,24184,699,39,12,6.9844905034366,36,18.825940802717835,0
68,40410,24910,673,19,3,4.488249214396243,36,4.742877305698995,1
36,61850,48077,311,36,13,11.365680489188133,60,15.743168770269428,1
23,46391,23404,786,16,13,20.417579219231065,60,27.630108038885805,0
40,53127,36175,716,3,13,16.791613802108763,60,27.005626206573364,1
44,58994,4791,506,17,0,14.833233934180853,36,6.030668721962784,1
53,70527,33208,640,27,11,3.5801441436905503,60,0.4169550002003919,0
44,40310,40276,610,15,5,12.86326509512296,60,4.447178097032406,1
31,55474,48175,607,7,8,6.89105285759285,36,1.8075020975433842,1
69,80235,10629,592,17,8,13.273199037933539,60,20.023444470364243,1
28,47359,33894,675,28,10,24.823061922738486,36,19.48750930862474,1
56,52948,22990,826,39,3,22.41008469707847,36,12.080768265229185,0
58,80213,43580,639,15,6,10.178557988291493,36,10.77222298324298,0
60,59562,8694,382,29,9,16.26040894870303,60,19.820995822920324,1
40,27890,37087,751,33,0,14.295047518399231,36,4.328678911137346,1
55,38067,9673,302,29,9,6.296010612115681,36,10.715456249760813,1
68,60343,39199,755,20,12,24.780840090026466,36,20.284595242727928,0
45,56345,33187,535,21,8,12.641265867185753,60,4.741495712178933,1
55,52438,5378,688,24,13,14.371669297044331,60,42.040683640230526,0
45,82418,24553,692,21,0,17.423385214685208,36,33.80092489783865,0
49,40737,44780,329,27,13,7.618207462308285,36,19.155962442323887,1
38,48883,40258,447,38,8,8.277871950731464,60,7.519915461443727,1
66,20553,23524,582,32,5,7.640006141723404,36,9.709365593436715,1
38,67409,44331,537,1,9,11.766009184530361,36,6.0044792373872005,1
22,38017,17622,618,3,10,7.793054563840987,60,8.00419136367666,1
55,65857,2420,636,15,6,23.417513310761368,60,21.125706948507766,0
36,64280,48440,330,11,3,18.85775199653018,36,12.283233264065485,1
61,85236,1340,506,16,8,22.803464738293982,36,44.22892384306121,1
56,59739,45310,528,35,11,21.74240880166926,36,48.04643650170999,1
53,44658,41288,641,15,5,18.617766958613778,36,34.56825217455713,1
24,56804,44953,759,38,11,8.719043065115926,36,40.43805547234413,1
53,38611,5987,435,22,5,16.72935558215893,36,12.755976778956073,1
34,54787,27062,583,7,11,7.505425503658248,60,33.25119870790616,1
41,46986,46517,650,8,13,6.348235042970969,36,2.8999326468063913,1
68,48944,33456,316,13,9,17.100367701981035,36,48.01080426544979,1
40,36524,39180,514,8,5,16.92945026107366,60,33.51034826534708,1
28,54506,26308,694,25,3,6.867376053418999,60,15.842558573649157,0
27,62363,20862,698,35,12,11.077195495130526,36,38.65207793919533,1
23,25218,8670,713,2,6,4.925045237921825,36,0.7899724601994562,0
37,39671,25246,543,9,13,18.888261944250125,60,18.81181176952056,1
53,52520,14766,394,24,1,24.731156505047192,36,44.78288814822101,1
68,15000,30681,305,3,1,19.407982341638238,60,13.159978153911606,1
32,76103,9323,386,29,12,21.649271645871988,36,33.395715603953164,1
42,39333,2857,488,10,10,13.741379709121466,60,18.00518411998463,1
42,35928,48223,719,18,10,5.555057745085132,60,19.618216784334702,1
66,46889,31587,366,12,5,19.122040233864013,60,37.2968525077242,1
50,52060,26818,547,35,8,9.015184302812514,36,45.510299909845656,1
58,38652,26247,506,2,2,11.848319995036887,60,8.335926148270477,1
58,64706,34272,504,13,6,18.616633874179634,36,13.844605437777341,1
65,55995,41235,618,9,8,22.952867313205022,36,24.389259131131674,1
28,37441,19540,382,37,14,13.954354553483869,60,30.690803295380558,1
47,42163,26837,723,39,11,24.174519821556725,36,23.38935563937004,0
47,27248,9484,381,26,8,14.677925858321089,60,40.27643474660715,1
54,31199,31682,848,23,2,6.133974641957524,60,38.404744230737435,0
41,55813,32707,786,15,0,14.646325535246044,60,20.26214610177972,0
50,37597,45610,432,9,1,22.003495677666294,60,2.0305936330269168,1
53,77064,5923,414,26,14,15.067970362172877,36,9.724818940868968,1
48,51063,43019,676,6,10,19.576739979041967,36,24.347632460462265,1
67,29707,16920,510,27,7,15.281088654944321,36,46.37568783310334,1
53,32849,44263,431,25,6,15.240173048017358,60,28.378474342589737,1
25,65794,22938,673,17,0,9.622359377891204,36,26.519745322168504,0
68,48852,14319,453,12,2,7.827100417948553,36,36.1985021651504,1
39,64879,43161,722,7,7,9.496754110660056,60,7.614747407821349,0
24,44502,7900,665,26,6,12.978014654861983,60,7.34592340693686,0
55,41596,3160,446,13,4,20.906187380194016,60,17.269758723466673,1
69,66791,17236,426,5,2,21.323308807032998,36,49.7426315773217,1
37,37121,7221,607,19,6,7.012623045563439,60,43.797091624969994,1
64,57335,26294,417,27,4,15.386380654317632,36,34.00569502174031,1
48,46823,11038,530,22,0,12.4445960437137,60,19.557746143148556,1
50,63180,20651,750,11,4,15.77511810122051,60,27.73369775883709,0
49,77277,24360,799,23,2,17.423902820866072,36,15.177705895452737,0
66,44117,9255,444,21,1,9.511657843455403,36,33.71535060930263,1
26,41792,3699,348,25,12,23.263711211744216,36,20.942283077874034,1
55,59987,44893,406,21,2,23.612135332543374,60,6.010794712110846,1
61,33769,22928,392,6,9,5.765191464809498,36,10.75439770490298,1
57,74246,49169,439,14,3,18.61489734399871,36,30.43463956683906,1
44,71690,1372,613,29,13,4.214489326441391,60,34.72823513455048,0
49,35013,48312,310,3,12,4.501121655006614,36,4.801083231708059,1
69,26253,19898,747,5,12,24.09269815278497,60,40.417048853607305,0
66,32591,24855,694,1,0,18.439342399711784,60,41.21736929574617,1
51,32819,35758,804,30,3,10.477645041733073,60,36.154095713851255,1
55,62026,10607,677,23,8,17.902369856536648,36,34.17942672230454,1
53,73237,40558,660,34,0,21.685453589054152,36,11.593429301196768,1
41,61851,9553,847,30,10,22.224424742843034,60,45.98109812067881,0
52,46457,6383,695,24,6,3.941175249019555,36,13.428677758450908,0
43,55137,49343,485,7,7,21.091902159320682,60,9.12523196587291,1
53,36953,1715,520,11,8,21.84385837378855,60,31.926701835197452,1
23,66458,10837,817,1,6,16.304759405318315,60,18.2052147472739,0
38,56480,14950,599,14,12,13.81793263632548,60,46.65140423309729,1
45,61597,8992,474,39,8,5.886476719748972,36,23.012480422917527,1
62,39086,27817,670,31,9,8.651697552881332,60,8.185927152557692,0
51,47471,34818,808,10,12,14.045430072806615,36,47.876432369742545,1
23,60876,14357,503,16,13,22.09921379023047,60,25.771695684633254,1
60,71652,5742,581,20,2,20.767388671185444,60,25.92794624089647,1
66,40878,14369,715,21,0,14.162485989752833,60,19.290134442218083,0
44,61706,6044,332,32,1,20.3909809908553,60,41.79968875141026,1
52,39318,11288,381,28,13,19.963267562853716,60,14.382181034300457,1
67,81757,26378,782,14,14,15.948830054382057,60,0.6854853945142958,0
42,43777,8261,447,20,9,8.236997248787285,36,24.863896345504283,1
43,59652,44614,794,1,12,10.982081028336765,36,46.294345582113614,1
22,52484,19064,469,37,0,7.027387829136991,36,13.663334327218745,1
47,89079,10799,306,2,1,3.6537358880893245,36,13.315271834672554,1
62,53448,4522,679,24,8,5.231296773840885,36,36.90499397220261,0
22,42274,14690,733,12,4,19.83195113945218,60,38.77666670320912,0
46,59592,3057,333,23,3,4.219952241501201,36,21.777826884257372,1
37,59258,36489,437,30,1,12.096831734503688,36,41.6821635561518,1
60,47637,38589,666,14,2,24.694277130946986,60,8.596654200184167,1
53,33578,36331,405,5,14,20.597643182919732,60,18.351268668047343,1
29,42080,15559,331,9,8,19.63827850834203,60,20.213895765838608,1
63,63222,14692,823,8,13,9.406238511422803,60,15.63979466031467,0
68,23788,49429,467,4,12,17.297199635633454,36,10.8868774509572,1
59,46279,1202,377,18,12,14.222304725214233,36,16.90747644711463,1
49,64922,34709,845,19,13,16.91222462834452,36,0.9001591767878847,0
62,48597,17972,508,32,2,12.870046558360187,36,35.16750173800342,1
46,82605,42530,710,36,7,14.915705366517505,60,34.1979617265156,1
55,23830,10537,307,30,11,24.750519353880154,36,22.510905610516662,1
45,35579,2642,526,38,0,10.580226382671242,60,16.145779193284177,1
44,15280,2365,474,12,11,8.153734629913089,36,21.704676795122452,1
33,79905,41324,380,37,14,13.142630520860543,60,46.826040799446005,1
27,35825,1008,356,5,4,14.772890978094638,60,30.17824244496171,1
56,20196,29820,434,7,1,5.341019979240106,36,36.56786579090395,1
